Student_ID,Student_Name,Gender,Department,Semester,Attendance_Percentage,GPA,Assignment_Score,Quiz_Score,Internal_Marks,LMS_Login_Count,Study_Hours_Per_Week,Backlog_Count,Last_Login_Date,Admission_Year,Probation_Status
S0804,Ravi Joshi,Male,CSE,6,82,6.25,92,61,70,55,35,2,06-05-2026,2022,No
S0805,Meera Narayanan,Female,EEE,5,97,9.19,44,94,100,160,24,1,23-04-2026,2025,No
S0806,Ankit Narayanan,Male,IT,3,54,2.64,56,72,46,181,25,5,28-06-2026,2023,Yes
S0807,Sunil Rao,Male,IT,7,53,6.21,75,71,91,247,26,2,22-02-2026,2025,Yes
S0808,Uma Sharma,Female,IT,1,89,8.41,85,49,92,48,25,1,04-11-2025,2023,No
S0809,Anu Das,Female,EEE,3,45,3.57,73,65,85,202,22,1,25-08-2025,2024,Yes
S0810,Sowmya Pillai,Female,IT,7,55,4.64,44,66,63,180,32,3,06-09-2025,2025,Yes
S0811,Aarav Subramanian,Male,ECE,5,63,6.85,86,67,71,216,27,1,12-09-2025,2025,No
S0812,Nikhil Kumar,Male,MECH,7,57,4.91,84,50,66,156,21,3,17-12-2025,2022,Yes
S0813,Sangeetha Iyer,Female,AI&DS,6,85,8.32,60,62,91,167,31,0,28-05-2026,2022,No
S0814,Kiran Singh,Male,EEE,3,97,8.39,83,68,81,11,31,1,22-10-2025,2025,No
S0815,Suresh Joshi,Male,AI&DS,6,73,4.79,79,50,43,122,13,0,19-10-2025,2026,Yes
S0816,Ishitha Balakrishnan,Female,CSE,5,99,8.5,51,97,87,218,21,0,26-07-2025,2023,No
S0817,Srinidhi Subramanian,Female,EEE,2,97,7.73,44,64,89,5,19,1,25-06-2026,2026,No
S0818,Malini Singh,Female,CSE,7,79,7.12,82,64,94,174,21,2,09-04-2026,2023,No
S0819,Rithika Patel,Female,MECH,4,74,5.14,39,91,39,71,16,2,25-02-2026,2022,No
S0820,Rahul Singh,Male,ECE,6,49,4.32,43,36,63,141,11,2,28-10-2025,2023,Yes
S0821,Sanjay Rao,Male,EEE,7,48,4.93,43,71,59,135,9,6,14-02-2026,2026,Yes
S0822,Akash Pillai,Male,AI&DS,3,69,5.13,45,53,92,177,15,0,27-03-2026,2023,No
S0823,Nikhil Sharma,Male,CIVIL,8,80,8.63,89,73,91,125,22,1,24-02-2026,2026,No
S0824,Srinidhi Balakrishnan,Female,CIVIL,5,56,6.01,63,81,41,80,22,1,11-01-2026,2023,Yes
S0825,Anand Raghavan,Male,CIVIL,2,58,3.1,73,55,74,192,26,0,17-03-2026,2024,Yes
S0826,Nisha Sharma,Female,IT,2,77,5.43,53,39,52,64,26,2,08-08-2025,2025,No
S0827,Harini Nair,Female,EEE,7,52,6.08,74,95,50,41,28,0,14-03-2026,2024,Yes
S0828,Anand Raghavan,Male,CSE,4,99,9.96,79,85,48,1,26,2,20-02-2026,2022,No
S0829,Priya Raghavan,Female,IT,3,58,5.87,93,50,82,43,19,0,09-04-2026,2023,Yes
S0830,Vivek Balakrishnan,Male,ECE,1,95,6.32,46,51,76,193,2,0,22-04-2026,2025,No
S0831,Sunil Mehta,Male,MECH,8,76,7.33,53,75,38,173,5,2,30-12-2025,2026,No
S0832,Ravi Raghavan,Male,CSE,7,85,7.62,43,85,87,7,10,2,10-07-2025,2026,No
S0833,Balaji Sankar,Male,MECH,8,46,5.56,42,75,36,87,28,2,01-07-2025,2026,Yes
S0834,Karthik Singh,Male,IT,3,88,7.02,37,71,52,101,32,0,04-05-2026,2022,No
S0835,Anu Prasad,Female,AI&DS,2,80,5.69,96,80,68,128,25,2,09-05-2026,2025,No
S0836,Suresh Subramanian,Male,AI&DS,3,99,8.24,37,38,77,55,8,1,06-07-2025,2024,No
S0837,Sneha Balakrishnan,Female,IT,5,55,5.8,40,96,89,154,9,1,27-11-2025,2026,Yes
S0838,Pooja Srinivasan,Female,CIVIL,2,43,5.45,59,91,62,103,13,2,24-11-2025,2023,Yes
S0839,Prakash Chandran,Male,AI&DS,6,58,5.26,58,62,70,2,26,0,29-04-2026,2022,Yes
S0840,Ravi Sankar,Male,EEE,4,53,3.66,37,74,46,202,13,5,22-05-2026,2025,Yes
S0841,Uma Balakrishnan,Female,CIVIL,2,60,4.27,92,73,46,211,8,1,13-10-2025,2023,Yes
S0842,Anand Raghavan,Male,EEE,6,58,5.25,57,65,90,176,16,0,22-11-2025,2026,Yes
S0843,Lavanya Pillai,Female,AI&DS,7,48,4.71,72,42,90,36,21,4,26-04-2026,2026,Yes
S0844,Varun Mehta,Male,ECE,8,65,6.66,70,65,38,181,32,2,12-10-2025,2025,No
S0845,Nisha Chandran,Female,MECH,7,56,5.55,91,79,48,8,22,2,25-05-2026,2022,Yes
S0846,Anu Subramanian,Female,ECE,8,76,7.71,40,40,73,10,1,1,25-07-2025,2025,No
S0847,Vaishnavi Krishnan,Female,IT,5,90,7.9,67,84,68,1,26,1,03-02-2026,2026,No
S0848,Ramya Pillai,Female,ECE,4,42,4.07,43,71,93,77,14,0,27-05-2026,2025,Yes
S0849,Suresh Patel,Male,CSE,8,68,5.06,40,52,50,30,7,1,29-05-2026,2023,No
S0850,Sangeetha Krishnan,Female,CIVIL,6,51,5.37,70,47,85,247,18,0,18-07-2025,2024,Yes
S0851,Balaji Rao,Male,IT,5,85,5.71,67,52,86,74,32,0,23-02-2026,2026,No
S0852,Vijay Chandran,Male,EEE,4,75,7.57,62,53,66,194,7,1,26-11-2025,2022,No
S0853,Arun Srinivasan,Male,MECH,1,82,7.54,85,100,43,219,11,2,03-03-2026,2022,No
S0854,Ashwin Krishnan,Male,AI&DS,5,91,7.57,42,43,35,133,22,1,23-03-2026,2022,No
S0855,Rithika Gupta,Female,AI&DS,6,86,6.38,79,94,44,203,11,2,07-09-2025,2022,No
S0856,Amrutha Raghavan,Female,MECH,5,76,4.44,97,95,70,118,14,0,11-01-2026,2024,Yes
S0857,Sneha Joshi,Female,MECH,4,99,10,48,89,86,232,12,1,24-06-2026,2023,No
S0858,Ranya Pillai,Female,AI&DS,7,55,3.71,83,69,46,94,17,1,26-11-2025,2023,Yes
S0859,Sanjay Nair,Male,CIVIL,3,58,3.64,91,73,38,150,19,0,04-03-2026,2022,Yes
S0860,Vidya Pillai,Female,CSE,3,57,3.4,54,47,45,2,26,0,19-06-2026,2026,Yes
S0861,Janani Raghavan,Female,EEE,7,95,6,37,59,39,202,24,0,30-03-2026,2024,No
S0862,Ashwin Narayanan,Male,CIVIL,5,53,4.94,61,36,97,142,25,1,11-11-2025,2022,Yes
S0863,Rahul Kumar,Male,EEE,2,63,5.77,39,56,92,127,16,2,16-03-2026,2026,No
S0864,Divya Mehta,Female,ECE,1,85,6.12,79,55,53,164,2,1,24-05-2026,2023,No
S0865,Sneha Das,Female,AI&DS,6,71,7.47,98,75,82,69,13,0,11-01-2026,2023,No
S0866,Pavithra Subramanian,Female,AI&DS,8,71,7.71,59,72,39,109,4,0,28-02-2026,2023,No
S0867,Gaurav Kumar,Male,CIVIL,6,52,3.11,59,73,62,250,3,2,02-03-2026,2022,Yes
S0868,Uma Rao,Female,CSE,8,70,7.53,95,47,49,152,17,1,21-08-2025,2024,No
S0869,Harini Krishnan,Female,ECE,7,73,5.74,44,77,43,156,19,0,22-01-2026,2026,No
S0870,Santhosh Gupta,Male,CSE,8,73,8.02,37,79,44,121,15,2,16-03-2026,2025,No
S0871,Ankit Rao,Male,CIVIL,5,57,3.44,43,86,51,79,18,6,15-08-2025,2025,Yes
S0872,Rahul Patel,Male,IT,4,51,2.35,99,47,72,107,34,0,10-09-2025,2022,Yes
S0873,Ganesh Nathan,Male,EEE,3,51,5.47,63,37,65,240,29,1,28-01-2026,2023,Yes
S0874,Nikhil Krishnan,Male,ECE,6,44,4.43,85,36,77,30,20,3,10-01-2026,2024,Yes
S0875,Surya Balakrishnan,Male,EEE,2,76,6.13,36,45,94,58,25,0,13-07-2025,2026,No
S0876,Ramya Singh,Female,EEE,1,56,3.92,88,96,47,223,24,0,24-11-2025,2022,Yes
S0877,Anu Murthy,Female,MECH,2,64,6.25,46,71,75,132,30,2,25-05-2026,2022,No
S0878,Priya Raghavan,Female,AI&DS,5,99,6.41,96,59,90,72,18,2,18-02-2026,2025,No
S0879,Santhosh Sharma,Male,AI&DS,2,100,10,67,55,87,86,18,1,20-08-2025,2024,No
S0880,Harini Murthy,Female,AI&DS,2,82,7.95,88,38,47,167,1,1,13-01-2026,2024,No
S0881,Uma Pillai,Female,EEE,8,77,4.56,92,74,67,215,16,0,25-03-2026,2025,Yes
S0882,Abhishek Sankar,Male,MECH,2,65,7.22,92,89,36,53,19,2,01-03-2026,2022,No
S0883,Vivek Murthy,Male,AI&DS,4,98,8.7,75,76,99,199,5,1,18-04-2026,2023,No
S0884,Janani Nair,Female,ECE,1,70,7.31,38,92,76,21,20,0,22-06-2026,2026,No
S0885,Ramya Reddy,Female,CSE,3,62,4.58,49,68,70,10,6,5,06-02-2026,2022,Yes
S0886,Meenakshi Krishnan,Female,AI&DS,6,54,6.14,50,86,68,221,23,1,03-04-2026,2026,Yes
S0887,Harish Subramanian,Male,IT,7,92,9.05,84,59,53,223,34,2,06-05-2026,2025,No
S0888,Abirami Subramanian,Female,CIVIL,4,66,6.17,66,65,51,33,17,0,05-05-2026,2026,No
S0889,Vijay Reddy,Male,MECH,2,53,4.28,37,64,82,46,28,0,03-01-2026,2024,Yes
S0890,Pranav Gupta,Male,AI&DS,2,47,5.7,57,78,85,51,10,2,26-04-2026,2022,Yes
S0891,Aditya Pillai,Male,ECE,8,58,6.27,83,81,66,144,15,0,23-01-2026,2022,Yes
S0892,Pavithra Gupta,Female,EEE,8,49,5.44,75,83,64,209,12,2,22-01-2026,2023,Yes
S0893,Ankit Prasad,Male,AI&DS,4,92,8.77,99,79,52,30,18,0,03-08-2025,2022,No
S0894,Ankit Das,Male,AI&DS,5,50,2.79,86,36,95,104,19,1,10-02-2026,2026,Yes
S0895,Ishitha Das,Female,ECE,7,54,3.64,81,56,35,156,1,0,07-12-2025,2025,Yes
S0896,Ram Subramanian,Male,CSE,2,87,6.39,52,90,78,21,4,1,27-09-2025,2023,No
S0897,Surya Pillai,Male,AI&DS,3,63,3.41,88,96,60,119,8,6,04-03-2026,2026,Yes
S0898,Pooja Rao,Female,EEE,8,88,7.52,37,44,51,119,9,2,02-01-2026,2024,No
S0899,Vaishnavi Singh,Female,EEE,6,80,5.44,59,73,84,9,18,0,24-03-2026,2022,No
S0900,Karthik Sankar,Male,AI&DS,5,83,7.74,46,51,43,218,27,0,17-07-2025,2026,No
S0901,Amit Rao,Male,CSE,8,67,4.89,99,52,48,142,27,2,17-06-2026,2025,Yes
S0902,Janani Sankar,Female,CIVIL,6,43,5.54,77,94,81,94,10,1,11-02-2026,2022,Yes
S0903,Anu Patel,Female,CIVIL,7,42,2.16,45,80,73,203,19,0,07-04-2026,2024,Yes
S0904,Uma Rao,Female,IT,3,69,3.91,72,75,83,43,10,2,20-03-2026,2025,Yes
S0905,Maya Sharma,Female,MECH,2,46,4.34,64,66,67,39,15,4,27-06-2026,2025,Yes
S0906,Janani Singh,Female,CIVIL,2,52,3.05,61,61,66,150,5,5,30-11-2025,2024,Yes
S0907,Pavithra Sankar,Female,IT,1,75,8.21,68,61,63,98,32,1,11-09-2025,2024,No
S0908,Praveen Narayanan,Male,IT,4,41,4.62,66,48,59,49,5,1,13-10-2025,2023,Yes
S0909,Manoj Gupta,Male,CSE,4,63,4.82,47,55,50,87,34,3,31-10-2025,2024,Yes
S0910,Rahul Chandran,Male,EEE,2,61,4.74,80,100,84,75,23,1,14-10-2025,2023,Yes
S0911,Aditya Murthy,Male,CSE,4,70,6.88,87,88,42,98,5,1,03-05-2026,2025,No
S0912,Balaji Reddy,Male,MECH,2,85,6.62,66,94,94,234,11,1,09-11-2025,2024,No
S0913,Praveen Chandran,Male,EEE,5,81,7.48,45,63,76,52,26,2,23-08-2025,2025,No
S0914,Siddharth Krishnan,Male,MECH,8,61,6.74,48,98,38,149,23,2,29-11-2025,2024,No
S0915,Janani Rao,Female,CSE,8,57,3.99,35,74,88,189,1,5,05-10-2025,2026,Yes
S0916,Rithika Joshi,Female,CSE,6,42,4.81,59,61,40,56,32,0,19-04-2026,2023,Yes
S0917,Suresh Narayanan,Male,CIVIL,1,44,3.44,58,40,37,77,6,5,09-04-2026,2022,Yes
S0918,Surya Iyer,Male,IT,8,85,8.09,55,51,70,208,10,0,01-11-2025,2025,No
S0919,Balaji Raghavan,Male,AI&DS,7,68,7.43,56,56,52,119,31,1,08-12-2025,2024,No
S0920,Ravi Balakrishnan,Male,MECH,4,88,9.07,44,96,60,181,21,0,08-06-2026,2022,No
S0921,Amit Iyer,Male,CSE,2,63,6.14,39,74,70,168,16,0,10-01-2026,2023,No
S0922,Alok Das,Male,ECE,8,91,6.11,94,100,75,128,23,0,16-04-2026,2025,No
S0923,Rajesh Mehta,Male,CSE,2,84,5.89,67,93,83,60,20,2,08-09-2025,2026,No
S0924,Abhishek Rao,Male,MECH,7,89,7.31,74,53,42,2,23,1,15-07-2025,2024,No
S0925,Sneha Subramanian,Female,CSE,4,86,7.16,68,78,89,13,23,1,03-04-2026,2023,No
S0926,Keerthana Srinivasan,Female,MECH,1,78,6.86,80,93,39,155,32,0,25-11-2025,2024,No
S0927,Ramya Reddy,Female,IT,2,80,6.71,52,52,97,63,31,1,25-01-2026,2026,No
S0928,Manish Iyer,Male,EEE,6,55,3.89,55,97,52,152,9,3,20-05-2026,2022,Yes
S0929,Shruti Singh,Female,EEE,3,81,4.88,68,38,51,7,14,4,01-05-2026,2026,Yes
S0930,Aanya Narayanan,Female,CSE,4,46,3.61,80,84,36,140,3,0,05-07-2025,2023,Yes
S0931,Kumar Verma,Male,MECH,4,62,5.22,98,99,60,7,4,0,30-07-2025,2023,No
S0932,Surya Prasad,Male,MECH,8,42,1.73,54,68,57,67,35,3,31-05-2026,2025,Yes
S0933,Chitra Pillai,Female,CSE,5,83,6.16,79,69,84,158,23,0,04-06-2026,2026,No
S0934,Harini Rao,Female,IT,4,66,4.34,56,45,42,91,16,4,15-07-2025,2025,Yes
S0935,Ravi Raman,Male,EEE,4,47,2.68,42,44,40,49,22,5,24-12-2025,2022,Yes
S0936,Preethi Iyer,Female,CSE,8,78,5.42,91,68,61,4,34,1,07-09-2025,2025,No
S0937,Sunil Singh,Male,ECE,5,72,6.18,56,99,47,117,1,1,08-05-2026,2026,No
S0938,Ramesh Raghavan,Male,CSE,6,71,7.29,58,43,68,233,25,0,19-08-2025,2025,No
S0939,Nisha Rao,Female,ECE,5,91,8.21,36,80,65,1,12,2,16-03-2026,2026,No
S0940,Srinidhi Gupta,Female,EEE,8,100,8.96,66,39,54,42,26,2,01-05-2026,2025,No
S0941,Sneha Sankar,Female,MECH,8,89,7.46,86,60,39,246,23,2,08-04-2026,2022,No
S0942,Suresh Chandran,Male,ECE,8,92,6.13,37,69,76,193,32,1,22-07-2025,2022,No
S0943,Ajay Murthy,Male,CSE,2,41,3.37,41,44,97,136,19,4,26-08-2025,2022,Yes
S0944,Varun Kumar,Male,ECE,7,48,4.27,99,63,39,152,32,3,20-06-2026,2024,Yes
S0945,Lakshmi Pillai,Female,CIVIL,5,72,7.44,65,70,64,58,32,0,20-08-2025,2022,No
S0946,Shruti Reddy,Female,MECH,2,83,5.68,51,65,91,18,33,1,25-11-2025,2023,No
S0947,Karthik Balakrishnan,Male,MECH,2,67,7.15,64,45,71,4,10,0,10-01-2026,2026,No
S0948,Rekha Murthy,Female,CIVIL,3,86,7.63,72,99,41,4,17,1,13-01-2026,2023,No
S0949,Sandeep Murthy,Male,AI&DS,6,82,6.1,87,46,38,35,22,1,01-03-2026,2026,No
S0950,Aarav Prasad,Male,AI&DS,6,44,3.42,53,41,58,16,34,1,04-08-2025,2025,Yes
S0951,Rahul Rao,Male,IT,4,86,7.73,77,47,37,89,25,1,16-02-2026,2023,No
S0952,Harini Kumar,Female,CIVIL,7,40,2.46,49,92,55,25,8,0,14-10-2025,2023,Yes
S0953,Ranya Chandran,Female,MECH,6,95,7.03,65,44,57,16,32,1,15-07-2025,2024,No
S0954,Rekha Singh,Female,CSE,6,78,6.98,72,75,61,180,3,0,29-12-2025,2023,No
S0955,Priya Sharma,Female,CSE,1,68,6.92,60,53,73,14,3,1,23-02-2026,2025,No
S0956,Janani Mehta,Female,MECH,7,69,3.93,65,75,62,223,13,6,31-07-2025,2022,Yes
S0957,Nandhini Raghavan,Female,ECE,2,88,5.63,35,98,97,174,4,0,30-01-2026,2022,No
S0958,Murugan Patel,Male,IT,2,54,4.54,56,66,65,48,14,5,22-06-2026,2025,Yes
S0959,Nandhini Rao,Female,EEE,4,98,6.56,79,80,91,56,27,0,26-06-2026,2024,No
S0960,Kumar Rao,Male,IT,4,73,6.7,81,69,99,55,31,0,01-01-2026,2024,No
S0961,Hari Sankar,Male,AI&DS,1,65,7.4,64,57,70,2,5,2,30-12-2025,2022,No
S0962,Aanya Sharma,Female,IT,7,53,5.22,48,98,67,246,3,0,21-01-2026,2026,Yes
S0963,Ram Pillai,Male,ECE,6,96,6.57,38,40,61,250,22,1,15-02-2026,2024,No
S0964,Aarav Iyer,Male,IT,6,73,4.57,51,83,51,180,14,5,18-02-2026,2022,Yes
S0965,Anand Nathan,Male,CSE,7,99,8.01,60,60,82,187,35,1,03-12-2025,2024,No
S0966,Aishwarya Iyer,Female,MECH,2,59,3.91,39,64,73,231,16,6,13-01-2026,2022,Yes
S0967,Sita Rao,Female,AI&DS,8,96,6.08,43,56,39,100,31,0,23-09-2025,2026,No
S0968,Ram Iyer,Male,CSE,4,58,4.21,68,40,83,217,28,2,14-12-2025,2025,Yes
S0969,Kumar Rao,Male,CIVIL,4,69,4.93,35,35,45,221,11,2,02-10-2025,2023,Yes
S0970,Keerthana Patel,Female,EEE,2,65,3.53,86,42,51,231,22,5,20-12-2025,2024,Yes
S0971,Harish Singh,Male,CIVIL,5,46,2.03,96,54,50,12,32,5,31-07-2025,2026,Yes
S0972,Pranav Srinivasan,Male,ECE,4,52,4.76,46,84,56,66,9,5,30-06-2026,2025,Yes
S0973,Surya Raghavan,Male,EEE,4,88,7.73,59,73,71,243,26,2,06-03-2026,2026,No
S0974,Sandhya Mehta,Female,IT,4,81,5.89,60,72,48,151,15,2,19-11-2025,2022,No
S0975,Harini Srinivasan,Female,CSE,1,97,6.83,51,81,60,153,2,2,26-08-2025,2025,No
S0976,Kumar Singh,Male,CIVIL,7,44,5.14,67,88,65,55,23,2,10-02-2026,2022,Yes
S0977,Hari Raman,Male,MECH,8,67,5.35,85,64,66,232,30,1,11-10-2025,2026,No
S0978,Radha Reddy,Female,MECH,5,59,6.37,73,85,90,9,29,1,31-07-2025,2023,Yes
S0979,Lakshmi Kumar,Female,CIVIL,5,59,6.73,86,36,61,2,17,1,17-01-2026,2026,Yes
S0980,Hari Iyer,Male,EEE,2,88,8.92,47,90,65,82,24,1,05-11-2025,2024,No
S0981,Aishwarya Raghavan,Female,MECH,5,52,3.66,70,59,50,11,28,4,13-12-2025,2026,Yes
S0982,Siddharth Kumar,Male,ECE,6,45,2.65,59,52,52,197,12,2,03-02-2026,2025,Yes
S0983,Preethi Sankar,Female,CIVIL,5,74,7.99,54,89,88,62,21,1,06-02-2026,2023,No
S0984,Anand Krishnan,Male,CIVIL,4,55,2.71,80,56,49,95,2,5,30-10-2025,2024,Yes
S0985,Ajay Subramanian,Male,MECH,6,79,5.3,49,73,35,91,20,1,10-06-2026,2023,No
S0986,Vidya Murthy,Female,EEE,3,81,5.46,78,56,60,45,31,2,06-01-2026,2026,No
S0987,Rohan Raman,Male,AI&DS,8,66,6.81,75,84,70,142,29,2,13-08-2025,2024,No
S0988,Radha Verma,Female,AI&DS,8,44,4.01,71,97,94,31,5,3,03-09-2025,2026,Yes
S0989,Surya Kumar,Male,CIVIL,5,51,2.82,41,70,85,163,16,3,24-01-2026,2023,Yes
S0990,Meenakshi Raman,Female,AI&DS,6,55,2.66,48,100,42,177,9,5,07-09-2025,2024,Yes
S0991,Rajesh Kumar,Male,AI&DS,6,99,7.18,83,64,83,229,34,2,04-01-2026,2025,No
S0992,Preethi Srinivasan,Female,CIVIL,5,43,3.53,89,69,66,241,23,4,14-07-2025,2023,Yes
S0993,Radha Rao,Female,EEE,7,81,6.82,96,46,100,218,23,2,05-11-2025,2025,No
S0994,Diya Prasad,Female,CSE,2,69,7.34,85,44,53,47,5,1,07-07-2025,2022,No
S0995,Lavanya Chandran,Female,ECE,2,67,4.4,84,84,37,162,35,4,26-06-2026,2026,Yes
S0996,Dinesh Mehta,Male,AI&DS,2,98,9.93,83,71,81,229,18,1,22-04-2026,2026,No
S0997,Naveen Das,Male,CSE,4,55,6.5,52,77,55,8,9,2,12-06-2026,2023,Yes
S0998,Ram Raghavan,Male,MECH,2,68,6.74,46,66,69,210,31,0,09-02-2026,2026,No
S0999,Manoj Iyer,Male,MECH,6,54,6.27,53,50,65,97,17,0,19-03-2026,2022,Yes
S1000,Priya Nair,Female,AI&DS,7,67,4.72,52,48,50,140,26,3,12-07-2025,2022,Yes
S01001,Priya Patel,Female,IT,8,66.08,7.72,51,64,61,125,23,6,2025-01-14,2023,Yes
S01002,Pooja Iyer,Female,ECE,1,97.36,6.4,73,95,89,39,29,3,2026-05-13,2022,Yes
S01003,Nivetha Gupta,Female,AI&DS,8,66.64,1.78,85,71,95,18,39,1,2025-01-31,2022,Yes
S01004,Harini Gupta,Female,ECE,4,71.98,3.14,83,87,56,77,30,4,2026-01-22,2022,Yes
S01005,Pooja Nair,Male,IT,7,69.07,7.7,52,45,68,89,32,5,2025-01-17,2024,Yes
S01006,Aishwarya Verma,Female,CIVIL,7,74.01,9.96,47,98,69,93,30,0,2026-04-15,2022,No
S01007,Karthik Nair,Male,CIVIL,7,88.23,3.08,60,87,90,65,39,0,2025-01-12,2023,Yes
S01008,Varun Reddy,Male,AI&DS,1,72.36,4.48,67,84,98,33,17,6,2026-01-07,2022,Yes
S01009,Akash Verma,Female,MECH,1,83.53,7.85,74,55,80,36,8,2,2025-07-08,2024,No
S01010,Nithin Verma,Female,CSE,6,79.56,2.9,72,42,89,65,36,5,2026-02-27,2025,Yes
S01011,Nivetha Iyer,Male,CIVIL,6,92.95,4.38,95,76,89,82,24,1,2025-06-01,2022,Yes
S01012,Aarav Nair,Female,MECH,6,48.6,7.75,96,51,88,8,37,6,2025-08-02,2022,Yes
S01013,Aditya Singh,Female,AI&DS,7,56.46,2.76,54,93,100,69,38,4,2025-08-30,2024,Yes
S01014,Arjun Kumar,Male,ECE,4,40.29,9.55,71,45,70,149,38,2,2025-05-15,2022,Yes
S01015,Rahul Singh,Male,CIVIL,7,86.1,1.58,56,86,100,24,33,3,2025-11-11,2024,Yes
S01016,Priya Nair,Male,CIVIL,5,84.98,4.67,76,52,48,1,34,3,2025-08-06,2024,Yes
S01017,Harini Kumar,Male,EEE,2,64.03,6.55,56,80,46,44,9,2,2026-04-28,2025,No
S01018,Akash Reddy,Female,EEE,3,63.64,7.27,97,54,100,130,5,4,2026-03-26,2025,Yes
S01019,Kavya Patel,Female,CSE,6,93.6,7.38,59,48,91,46,1,4,2026-04-25,2025,Yes
S01020,Aarav Gupta,Female,MECH,4,85.71,4.95,91,64,71,31,13,4,2025-03-06,2025,Yes
S01021,Aishwarya Iyer,Female,IT,2,76,4.65,100,50,55,65,10,0,2026-04-03,2024,Yes
S01022,Akash Singh,Male,CSE,7,80.9,8.74,84,70,65,86,7,1,2026-02-16,2022,No
S01023,Ananya Nair,Female,EEE,2,49.9,9.95,45,99,51,32,11,2,2025-02-15,2023,Yes
S01024,Ananya Nair,Male,EEE,8,60.13,4.79,94,80,63,33,31,3,2025-10-30,2023,Yes
S01025,Aarav Raj,Female,EEE,8,96.46,2.21,79,68,89,111,27,6,2025-12-31,2023,Yes
S01026,Karthik Singh,Female,MECH,3,40.48,6.66,83,47,93,124,29,1,2026-04-13,2022,Yes
S01027,Rahul Nair,Male,MECH,2,95.68,5.56,88,43,47,17,14,1,2025-12-18,2022,No
S01028,Nivetha Singh,Female,CIVIL,3,96.48,9.61,78,53,81,68,15,2,2025-10-12,2024,No
S01029,Priya Singh,Male,ECE,8,64.46,5.22,85,91,40,88,17,5,2025-06-26,2025,Yes
S01030,Divya Iyer,Female,MECH,7,70.7,5.91,74,88,61,60,17,2,2025-10-31,2025,No
S01031,Pooja Singh,Female,ECE,1,42.54,5.01,40,78,63,137,40,0,2025-12-24,2024,Yes
S01032,Kavya Sharma,Male,MECH,6,82.09,3.26,70,94,60,107,30,0,2025-11-12,2023,Yes
S01033,Pooja Kumar,Male,IT,2,85.72,2.78,43,89,91,117,5,5,2026-02-06,2023,Yes
S01034,Aarav Gupta,Male,CIVIL,5,67.33,5.03,49,90,52,100,34,4,2026-01-15,2023,Yes
S01035,Divya Sharma,Male,AI&DS,3,46.1,9.43,77,49,66,52,2,4,2026-03-07,2024,Yes
S01036,Rahul Sharma,Male,ECE,3,68.4,5.2,54,71,68,30,33,0,2025-07-07,2023,No
S01037,Akash Raj,Female,IT,7,49.93,6.98,89,44,82,30,23,1,2026-03-16,2023,Yes
S01038,Varun Reddy,Male,EEE,1,55.76,5.54,78,41,81,78,1,0,2025-03-06,2023,Yes
S01039,Vignesh Raj,Male,EEE,2,47.98,1.64,65,75,50,109,33,4,2026-02-23,2025,Yes
S01040,Aarav Raj,Female,IT,5,48.29,8.09,67,82,99,90,9,2,2025-04-22,2025,Yes
S01041,Nivetha Sharma,Male,ECE,1,88.82,7.88,83,76,67,64,28,1,2025-12-27,2024,No
S01042,Arjun Gupta,Female,AI&DS,7,47.1,5.46,50,56,84,117,8,0,2025-05-24,2025,Yes
S01043,Kavya Kumar,Male,MECH,8,52.88,7.23,44,63,78,120,27,0,2026-05-14,2023,Yes
S01044,Vignesh Gupta,Female,IT,1,70.58,4.82,82,57,53,14,24,5,2025-10-18,2025,Yes
S01045,Aarav Verma,Female,CIVIL,1,52.15,8.6,75,59,64,8,26,2,2025-03-28,2022,Yes
S01046,Pooja Raj,Male,EEE,7,46.92,9.16,56,49,42,17,34,5,2025-04-27,2022,Yes
S01047,Sneha Nair,Male,CSE,4,45.92,4.65,44,74,92,114,19,3,2026-01-20,2024,Yes
S01048,Nivetha Gupta,Male,CSE,2,68.93,7.74,43,62,55,123,17,2,2025-05-21,2025,No
S01049,Arjun Verma,Male,ECE,6,52.51,2.86,40,45,51,13,36,3,2025-11-17,2023,Yes
S01050,Rohan Gupta,Female,IT,1,71.47,9.49,100,47,99,134,36,1,2026-01-09,2024,No
S01051,Varun Nair,Male,ECE,6,90.17,5.29,79,92,88,131,6,2,2026-04-15,2025,No
S01052,Priya Singh,Male,EEE,5,64.05,9.81,92,46,66,65,1,6,2025-10-07,2023,Yes
S01053,Harini Raj,Male,EEE,5,50.68,4.15,89,95,82,2,38,5,2025-03-21,2025,Yes
S01054,Aarav Nair,Female,MECH,1,52.81,4.58,73,51,51,141,4,5,2026-05-10,2024,Yes
S01055,Ananya Iyer,Female,MECH,6,98.48,9.4,87,55,52,129,18,5,2026-02-10,2024,Yes
S01056,Pooja Singh,Female,CIVIL,5,61.23,1.98,60,64,44,131,39,2,2026-04-18,2023,Yes
S01057,Vignesh Kumar,Female,IT,5,80.75,3.07,76,97,92,37,3,2,2025-02-14,2023,Yes
S01058,Priya Verma,Male,MECH,8,43.87,1.77,84,49,47,30,11,0,2025-07-26,2022,Yes
S01059,Aditya Nair,Male,MECH,8,42.19,4.1,100,75,74,29,24,5,2025-03-10,2025,Yes
S01060,Pooja Iyer,Male,CSE,8,54,8.86,44,76,56,111,9,0,2026-04-04,2024,Yes
